Source,Millenium - Headline - A8,Millenium - Headline - A18,Own calculations,Millenium - Headline - A12,Millenium - Headline - A12,Millenium - Headline - A12,Millenium - Headline - A35,Millenium - Headline - A35,Millenium - Headline - A50,Millenium - A14- Total production and construction,Millenium - Headline - A47,Millenium - Headline - A47,Millenium - Headline - A47,Millenium - A47 - J,Millenium - Headline - A47,Millenium - Headline - A31,Millenium - Headline - A32,"Mitchell (1988) Chapter XIV Table 1, page 719 ",Clark 2003,Clark 2003,Clark 2003,Jeffreys/Walters,Jeffreys/Walters,Jeffreys/Walters,,,,,,,,,,,,,
Year,GDP,POP,GDPPC,CONS,INV,GCONS,EXP,IMP,URATE,PROD,CPI,WPI,GDEFL,CDEFL,WAGE,STX,HOUSE,COMPONENTS / WEIGHTS,Parable,Ppasture,Pwood,Warable,Wpasture,Wwood,,,,,,,,,,,,,
1700,10364.95612,6575.830855,1.576220001,,,,191.5887159,225.4299264,,0.420758817,0.774667047,1.226102847,0.789197149,,0.219758536,0.838103472,,,59.40977723,49.83978952,22.27579861,0.353,0.353,0.294,,,,,,,,,,,,,
1701,11294.90602,6613.147072,1.707947199,,,,205.7304157,223.7314817,,0.470671577,0.673623519,1.238487725,0.750920969,,0.222759497,0.760166612,,,47.19310952,49.29058779,19.69786639,,,,,,,,,,,,,,,,
1702,11003.60122,6656.532324,1.653053073,,,,140.8895684,157.8009485,,0.425439176,0.666887284,1.288027234,0.749562777,,0.230144411,0.808735958,,,45.74782996,51.31555903,20.52589634,,,,,,,,,,,,,,,,
1703,10298.41545,6709.838579,1.53482313,,,,181.6334867,171.7745158,,0.389809346,0.633206108,1.288027234,0.742706306,,0.229749989,0.939760187,,,44.28475704,47.25288276,20.63237254,,,,,,,,,,,,,,,,
1704,12260.28171,6739.712138,1.819110588,,,,182.1938804,205.7048078,,0.492371593,0.660151049,1.263257479,0.75618789,,0.22669165,0.939760187,,,50.64388441,44.09656701,19.68641541,,,,,,,,,,,,,,,,
1705,11636.51251,6753.543748,1.723023193,,,,182.707633,179.6380913,,0.44557205,0.599524932,1.263257479,0.741973738,,0.225965773,0.809865489,,,45.26569705,42.49617449,18.35402369,,,,,,,,,,,,,,,,
1706,9854.314587,6773.57538,1.454817291,,,,184.2376692,156.8745241,,0.359153368,0.680359754,1.21371797,0.720735473,,0.228680219,0.736446705,,,47.31781751,45.04943729,17.64525352,,,,,,,,,,,,,,,,
1707,11071.25275,6804.4739,1.627054923,,,,190.3690355,164.7105301,,0.413612249,0.592788697,1.176563338,0.710164149,,0.228546049,0.804217883,,,46.38650058,42.7032346,18.90338157,,,,,,,,,,,,,,,,
1708,11784.40645,6834.3072,1.724301543,,,,194.4566131,181.3861685,,0.535228149,0.619733638,1.201333093,0.73378678,,0.233557183,0.885543286,,,56.41394323,42.49352255,18.71103253,,,,,,,,,,,,,,,,
1709,10209.25032,6856.886591,1.488904649,,,,194.9181138,174.1291777,,0.431810937,0.720777165,1.238487725,0.800757087,,0.214011204,0.878766147,,,74.33619235,43.0197359,19.48931419,,,,,,,,,,,,,,,,
1710,9281.871093,6883.353793,1.348451841,,,,192.676539,154.8286703,,0.365423059,0.821820693,1.312796988,0.825821494,,0.216695151,0.808735958,,,78.6158785,45.29581998,20.45160421,,,,,,,,,,,,,,,,
1711,10120.24099,6883.979613,1.470114898,,,,196.5663305,180.8843553,,0.372460166,0.909391751,1.34995162,0.766526268,,0.224675612,0.73192863,,,64.91558415,48.07379123,19.98791468,,,,,,,,,,,,,,,,
1712,10110.92366,6879.809085,1.469651779,,,,211.1857368,201.430533,,0.372460166,0.680359754,1.21371797,0.748332703,,0.225712066,0.761296143,,,56.67341683,46.07841035,21.65774928,,,,,,,,,,,,,,,,
1713,9676.896991,6894.065366,1.403656113,,,,227.1901979,224.3104969,,0.396258467,0.653414814,1.188948216,0.768478923,,0.226424388,0.856175772,,,56.48280307,46.05626664,20.59546333,,,,,,,,,,,,,,,,
1714,10644.65651,6920.761182,1.538075976,,,,263.8465386,228.8654167,,0.435167451,0.693832225,1.127023829,0.777716013,,0.232292728,0.884413754,,,65.51335156,44.6817449,20.59965493,,,,,,,,,,,,,,,,
1715,10345.93333,6931.369657,1.492624668,,,,228.2120923,217.7483244,,0.438307355,0.70056846,1.065099443,0.745695944,,0.237234021,0.944278262,,,55.34460259,43.97263905,20.00912311,,,,,,,,,,,,,,,,
