Source,MeasuringWorth,MeasuringWorth,MeasuringWorth,MeasuringWorth,Falkner; From p. 93 in https://babel.hathitrust.org/cgi/pt?id=chi.20247016;view=1up;seq=99;size=175,Jalil (2015),Davis (04). https://www.nber.org/data/industrial-production-index/,Davis (04). https://www.nber.org/data/industrial-production-index/,Davis (04). https://www.nber.org/data/industrial-production-index/,Davis (04). https://www.nber.org/data/industrial-production-index/,Davis (04). https://www.nber.org/data/industrial-production-index/,Davis (04). https://www.nber.org/data/industrial-production-index/,Davis (04). https://www.nber.org/data/industrial-production-index/,Davis (04). https://www.nber.org/data/industrial-production-index/,"HSUS, JST",Anderson(2003),Anderson(2003),,,
Year,RGDP,GDPD,RGDPPC,CPI,CPIF,BANK,IPROD,IPFood,IPTextiles,IPWood,IPLeather,IPChemicals,IPMachinery,IPMetals,SHARE,M2,M3,,,
1774,,,,7.82,,,,,,,,,,,,,,,,
1775,,,,7.41,,,,,,,,,,,,,,,,
1776,,,,8.46,,,,,,,,,,,,,,,,
1777,,,,10.31,,,,,,,,,,,,,,,,
1778,,,,13.38,,,,,,,,,,,,,,,,
1779,,,,11.84,,,,,,,,,,,,,,,,
1780,,,,13.29,,,,,,,,,,,,,,,,
1781,,,,10.72,,,,,,,,,,,,,,,,
1782,,,,11.76,,,,,,,,,,,,,,,,
1783,,,,10.31,,,,,,,,,,,,,,,,
1784,,,,9.91,,,,,,,,,,,,,,,,
1785,,,,9.43,,,,,,,,,,,,,,,,
1786,,,,9.19,,,,,,,,,,,,,,,,
1787,,,,9.02,,,,,,,,,,,,,,,,
1788,,,,8.62,,,,,,,,,,,,,,,,
1789,,,,8.54,,,,,,,,,,,,,,,,
1790,4568,4.14,1162.8,8.86,,,,,,,,,,,,,,,,
1791,4842,4.25,1196.3,9.1,,,,,,,,,,,,,,,,
1792,5199,4.33,1246.3,9.27,,,,,,,,,,,,,,,,
1793,5612,4.47,1305.4,9.59,,,,,,,,,,,,,,,,
1794,6354,4.96,1434.7,10.64,,,,,,,,,,,,,,,,
1795,6758,5.67,1481,12.17,,,,,,,,,,,,,,,,
1796,6972,5.98,1483.1,12.81,,,,,,,,,,,,,,,,
1797,7113,5.75,1468.3,12.33,,,,,,,,,,,,,,,,
1798,7417,5.57,1486.4,11.92,,,6.213232292,,,,,,,,,,,,,
1799,7941,5.57,1544.6,11.92,,,6.614553383,,,,,,,,,,,,,
1800,8393,5.72,1584.6,12.17,,,7.273164148,,,,,,,,,,,,,
1801,8802,5.84,1611.8,12.33,,,7.74531288,,,,,,,,,,,,,
1802,9079,4.97,1612.1,10.39,,,8.210256504,,,,,,,,10,,,,,
1803,9232,5.27,1589.3,10.96,,,7.977395976,,,,,,,,9.04,,,,,
1804,9591,5.56,1601,11.44,,,8.077246741,,,,,,,,8.66,,,,,
1805,10100,5.55,1634.3,11.36,,,8.698442208,,,,,,,,8.28,,,,,
1806,10577,5.83,1658.2,11.84,,,9.282591484,,,,,,,,8.66,,,,,
1807,10587,5.56,1607,11.2,,,9.717984287,,,,,,,,9.04,,,,,
1808,10610,6.09,1561,12.17,,,8.062933732,,,,,,,,9.03,,,,,
1809,11422,6.01,1629.6,11.92,,,9.388826306,,,,,,,,9.13,,,,,
1810,12055,5.86,1668.7,11.92,,,10.25789136,,,,,,,,8.94,,,,,
1811,12603,6.09,1694.8,12.73,,,11.29881178,,,,,,,,8.25,,,,,
1812,13106,6,1713,12.89,,,11.25249427,,,,,,,,8.54,,,,,
1813,13851,7,1760.7,15.47,,,12.06278124,,,,,,,,8.64,,,,,
1814,14431,7.47,1784.9,17,,,13.17217931,,,,,,,,7.19,,,,,
1815,14547,6.36,1751,14.91,,,13.58422226,,,,,,,,7.39,,,,,
1816,14546,5.63,1703.3,13.62,,,12.59507993,,,,,,,,7.11,,,,,
1817,14884,5.17,1693.3,12.89,,,13.118831,,,,,,,,7.97,,,,,
1818,15425,4.78,1703.1,12.33,,,13.83813273,,,,,,,,7.72,,,,,
1819,15723,4.62,1684.3,12.33,,,14.412262,,,,,,,,7.14,,,,,
1820,16352,4.34,1700.2,11.36,,,14.83415102,,,,,,,,7.51,,,,,
1821,17223,4.27,1739.8,10.96,,,15.79200282,,,,,,,,7.96,,,,,
1822,17875,4.5,1754.3,11.36,,,17.29144769,,,,,,,,7.57,,,,,
1823,18522,4.1,1766,10.15,,,17.08106771,,,,,,,,7.56,,,,,
1824,19620,3.84,1817.5,9.35,,,18.5588578,,,,,,,,7.93,,,,,
1825,20498,4.01,1844.1,9.59,,0,19.88631746,,,,,,,,7.48,,,,,
1826,21227,4.08,1854.1,9.59,,0,20.53463631,,,,,,,,7.47,,,,,
1827,21886,4.19,1855.2,9.67,,0,21.07251175,28.69959867,18.4985597,16.7097164,15.8893553,22.22101652,28.52870472,22.65924759,7.25,,,,,
1828,22182,4.04,1824.5,9.19,,0,21.39077547,29.59436265,15.83339006,20.23740347,16.78586379,21.64993578,29.78570276,21.23953301,7.25,,,,,
1829,23025,4.04,1838.3,9.02,,0,20.11743663,26.22471565,15.33765362,17.94984881,17.00100289,22.85416195,25.14025124,22.98807967,7.18,,,,,
1830,25142,4.06,1948.8,8.94,,0,23.80094091,32.78784507,16.13107352,16.12569167,23.16611516,30.65193721,22.4513088,40.31463367,7.71,,,,,
1831,27217,3.87,2050,8.38,,0,28.08489982,33.69609494,23.01315137,18.58930982,34.35095512,33.07381344,26.7530488,39.97002435,7.94,,,,,
1832,29057,3.89,2124.7,8.3,,0,31.532882,31.96676854,23.19641572,22.08713685,47.33844985,33.8541922,37.25936467,37.14040955,8.33,,,,,
1833,29951,3.87,2126.3,8.14,,1,35.1479705,34.84194866,25.25823063,24.79345261,53.18862249,39.83934744,39.23213237,43.84419714,8.25,,,,,
1834,30455,4,2099.8,8.3,,1,33.57932024,33.61964336,26.4568169,28.47279299,46.66650795,40.09398446,35.47458621,35.55086603,9.38,,,,,
1835,32071,4.18,2150,8.54,,0,37.5725253,36.56568596,28.36899272,32.14343251,48.99200076,47.75953931,36.12939074,47.98470409,9.7,,,,,
1836,33021,4.48,2152.6,9.02,,0,40.24929537,30.2594877,32.04856602,33.40580254,55.86652033,47.56153165,47.18698668,46.74383662,8.53,,,,,
1837,33323,4.66,2110.4,9.27,,1,39.67901904,30.64088056,30.58077257,32.0749866,47.11048341,58.3297429,46.99563778,50.34245679,7.86,,,,,
1838,34702,4.6,2138.9,9.02,,1,40.6965432,37.93431103,33.63449745,37.48029687,40.08501096,54.40387574,45.2361023,49.35146407,7.67,,,,,
1839,35593,4.67,2137,9.02,,1,46.05580906,41.48200479,38.42343544,40.32334144,41.39675183,58.79636483,53.39022971,62.67913078,6.75,,,,,
1840,35691,4.41,2084.7,8.38,98.5,0,43.88116827,62.65346493,41.32377183,37.43935564,35.5906618,58.47464266,44.02574257,44.32545893,7.13,,,,,
1841,36490,4.53,2071.9,8.46,98.7,0,46.34873468,63.74937383,42.86825606,40.50792948,40.13047581,61.42109354,43.32114244,49.71889973,6.2,,,,,
1842,37656,4.3,2077.7,7.9,93.2,0,47.65550429,61.48693273,39.37233068,49.32462963,47.35377311,59.30353072,37.82099051,53.35869467,5.02,,,,,
1843,39522,3.97,2120.2,7.17,89.3,0,53.10274696,69.08307272,48.02898475,57.90050464,46.87267712,68.3745232,42.44948643,51.88045248,7.41,,,,,
1844,41768,4.07,2180.3,7.25,89.8,0,59.45169213,67.50276684,51.50523852,59.07192279,58.24103621,76.47619881,45.12673495,75.99445661,8.64,,,,,
1845,44412,4.19,2253.5,7.33,92.1,0,65.3578787,68.44202888,57.90217877,68.44569265,55.97993282,86.96447652,58.94089431,77.12344879,9.37,,,,,
1846,48020,4.3,2364,7.41,96.7,0,75.92651432,101.4889,62.75619926,72.64967025,54.02051479,78.57111211,75.42331392,104.0310909,8,,,,,
1847,51289,4.7,2443.9,7.98,96.7,0,87.36614782,130.1975813,68.81974755,87.87805946,66.36411065,94.98835941,84.25526979,103.7713466,8.1,,,,,
1848,53018,4.58,2442.6,7.65,92,0,94.88688888,99.81619161,93.3679617,96.17744913,71.08259758,95.56650567,95.97289761,114.8979203,7.81,,,,,
1849,53755,4.5,2393,7.41,88.9,0,98.33049895,98.7938359,100.7060494,94.21106363,92.65260881,100.0492611,96.03208297,109.1628302,7.82,,,,,
1850,56252,4.59,2418.3,7.57,92.6,0,102.3850296,101.7134095,99.01983922,108.7069548,111.2754315,99.93107527,105.8320263,88.44948297,9.27,,,,,
1851,60780,4.48,2522.5,7.41,99.1,0,106.0488163,114,73,118,112,126,141,83,8.97,,,,,
1852,67799,4.52,2712.1,7.49,98.5,0,122.8400247,132,105,134,106,118,159,108,10.72,,,,,
1853,73343,4.51,2830.6,7.49,103.4,0,139.9823567,120,126,137,111,145,191,154,9.37,,,,,
1854,75875,4.89,2825.3,8.14,103.4,0,142.7244231,101,114,143,113,159,242,132,6.55,,,,,
1855,79039,5.03,2850.6,8.38,106.3,0,143.4435007,117,111,171,128,161,203,120,6.65,,,,,
1856,82213,4.92,2885,8.22,108.5,0,149.4353033,123,126,173,128,167,202,136,6.94,,,,,
1857,82634,5.06,2820.5,8.46,109.6,1,146.1714908,116,133,174,136,167,171,133,4.79,,,,,
1858,85978,4.76,2859.5,7.98,109.1,0,137.5410096,154,97,172,163,169,128,129,5.47,,,,,
1859,92203,4.8,2995.6,8.06,102,0,156.3941253,157,152,185,170,188,129,139,4.89,,,,,
1860,93146,4.71,2955.8,8.06,100,0,157.8597585,158,147,181,140,190,171,138,5.57,,,,,
1861,94805,4.9,2942.9,8.54,95.9,0,156.4734015,230,152,168,120,190,156,116,5.46,,,,,
1862,106586,5.48,3240.8,9.75,102.8,0,167.3493648,265,112,147,147,198,226,157,8.48,,,,,
1863,114782,6.71,3415.4,12.17,122.1,0,187.3091115,259,132,164,152,215,287,162,11.34,,,,,
