"year","cpi","wpi","proxy","gdefl","cdefl","gdp","gdppc","prod","cons","inv","gcons","exp","imp","urate","stx","house"
"1830","1.201088269","1.39573838","96.544432935","1.141564851","1.237750137","39745.32536","2.245175983","2","33'342","1'349","5'443","2'096","1'893","7","1.476466624",NA
"1831","1.216303247","1.408175043","98.131874835","1.0902761","1.190379957","40957.09525","2.282876944","2","34'049","1'608","5'443","2'191","2'048","6","1.403938439",NA
"1832","1.173343309","1.351286544","92.88785494","1.079119815","1.141751166","41179.56608","2.269690984","2","34'128","1'193","5'637","2'361","1'766","8","1.495462101",NA
"1833","1.125013379","1.309174279","85.711473835","1.043583683","1.115532358","41640.57933","2.270784634","3","34'600","1'193","5'637","2'408","1'858","8","1.604254379",NA
"1834","1.097268419","1.277651648","86.175925155","1.067312949","1.140341862","43083.15263","2.321059957","3","35'543","1'453","5'443","2'537","2'020","7","1.650879641",NA
"1835","1.058783474","1.248961128","82.838747695","1.061981126","1.138479438","45694.76411","2.430806276","3","36'330","2'127","5'443","2'781","2'009","6","1.771759949",NA
"1836","1.161708326","1.406328014","89.823715445","1.11918673","1.200606628","46899.04317","2.463887094","3","37'902","2'023","5'443","2'910","2'397","6","1.968622166",NA
"1837","1.203773265","1.392906268","94.34457989","1.096448879","1.15913703","46498.96566","2.416284919","3","37'431","2'387","5'637","2'646","2'249","7","2.080868166",NA
"1838","1.252998194","1.445485032","98.776834985","1.098600689","1.171442094","48749.85166","2.50507426","3","38'531","2'750","5'832","3'127","2'503","7","2.334716814",NA
"1839","1.294168135","1.541407414","105.156951355","1.118504188","1.192155216","49806.93728","2.525716158","3","40'026","2'853","6'026","3'243","2'665","6","2.303633306",NA
"1840","1.281638153","1.51476094","99.970159365","1.068924698","1.152623747","50031.11289","2.505132224","3","39'161","2'853","6'609","3'412","2'700","10","2.510856692",NA
"1841","1.258368187","1.443638003","99.478010855","1.071157198","1.143043498","48660.5521","2.409176755","3","38'925","1'868","6'804","3'561","2'690","12","2.459050845",NA
"1842","1.18676829","1.312006391","89.65484795","1.024607939","1.104228204","48236.86641","2.363375435","3","38'374","1'712","6'998","3'473","2'556","12","2.588565462",NA
"1843","1.091003428","1.177912072","83.88657547","0.986815949","1.050012121","49914.80426","2.420281246","3","38'689","1'608","7'193","3'853","2'605","9","3.003012233",NA
